dia,distancia_total
1,2462.5175888234444
2,2450.9465783987075
3,2457.7965783987083
4,2453.1382327610395
5,2456.216578398708
6,2455.107185671603
7,2458.796578398708
8,2459.8659344611124
9,2461.638840033935
10,2455.67823276104
11,2455.26823276104
12,2455.846578398708
13,2456.266578398708
14,2448.6799999999994
15,2457.4775888234444
16,2456.9265783987075
17,2463.861802579448
18,2458.066578398708
19,2454.345934461113
20,2459.5613225034976
21,2458.4859344611127
22,2451.51823276104
23,2456.566578398708
24,2457.585934461112
25,2447.4196973398075
26,2454.3882327610395
27,2458.4059344611123
28,2454.576578398708
29,2461.655934461112
30,2454.117185671604
31,2457.005934461112
32,2443.899999999999
33,2433.85
34,2446.8
35,2459.596578398708
36,2451.706578398708
37,2465.281802579448
38,2459.1459344611126
39,2461.147185671604
40,2457.006578398707
