id_zona,demanda,tienda
1482,17403,8
1506,26039,8
1507,14750,8
1508,11083,8
1509,11846,8
1510,20981,8
1511,30603,8
1538,9154,8
1539,30116,8
282,14467,9
311,13118,9
312,9027,9
340,22895,9
341,21760,9
370,19002,9
399,28077,9
400,9932,9
429,29939,9
430,31994,9
458,22692,9
459,16695,9
460,13695,9
461,23133,9
471,11325,9
489,8694,9
490,22375,9
491,15611,9
500,13851,9
501,18919,9
521,13492,9
522,27354,9
528,18797,9
529,24504,9
530,8680,9
553,22467,9
554,20843,9
557,11266,9
558,20557,9
585,29683,9
586,26689,9
587,29000,9
